ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"188.138.139.216","elite","AS31252","MD","SC STARNET SRL","47","SC Starnet SRL","4145","socks4","1989","1","2023-07-30T17:39:42.050Z","100","3160","3169"
"45.70.237.143","elite","AS264668","EC","Nedetel S.A.","199","Nedetel S.A","4145","socks4","4592","81","2023-07-30T17:39:37.739Z","99","3117","3135"
"41.184.211.21","elite","AS29091","NG","ipNX Nigeria Limited","190","ipNX NIGERIA LIMITED","5678","socks4","4995","1","2023-07-30T17:39:37.742Z","82","2570","3130"
"186.251.255.1","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","210","Seanet Telecom Carazinho Eireli","31337","socks4","4805","1","2023-07-30T17:39:37.744Z","100","3133","3147"
"202.40.188.201","elite","AS23991","BD","Ranks ITT","189","Ranks ITT Ltd.","4145","socks4","4706","1","2023-07-30T17:39:37.745Z","100","3137","3149"
"58.18.43.34","elite","AS4837","CN","CNC Group CHINA169 Neimeng Province Network","287","N/A","10800","socks4","5098","1","2023-07-30T17:39:37.736Z","82","2543","3114"
"177.8.170.122","elite","AS53231","BR","Grupohost Comunicacao Multimidia Ltda","292","Grupohost Comunicacao Multimidia Ltda","1080","socks4","4706","1","2023-07-30T17:39:34.344Z","95","3014","3158"
"95.182.78.4","elite","AS50648","UA","PE UAinet","99","PE UAinet","5678","socks4","5089","1","2023-07-30T17:39:34.349Z","99","3116","3140"
"173.236.184.128","elite","AS26347","US","New Dream Network, LLC","79","New Dream Network, LLC","10654","socks4","4618","1","2023-07-30T17:39:34.346Z","100","3032","3036"
"212.174.44.78","elite","AS9121","TR","Turk Telekomunikasyon Anonim Sirketi","85","Sonet Internet Erisim Hizmetleri","1080","socks4","2013","1","2023-07-30T17:39:31.333Z","10","327","3125"
"95.38.75.60","elite","AS41881","IR","Fanava Group","129","Fanava Group","4145","socks4","1692","1","2023-07-30T17:39:31.149Z","91","2815","3087"
"189.80.143.82","elite","AS7738","BR","V tal","205","Micromarques Ltda","3128","socks4","5088","1","2023-07-30T17:39:31.234Z","100","3118","3125"
"36.90.48.84","elite","AS7713","ID","PT. Telekomunikasi Indonesia","182","Telekomunikasi Indonesia","4153","socks4","2686","1","2023-07-30T17:39:31.148Z","84","2633","3142"
"38.127.179.16","elite","AS174","US","Cogent Communications","96","Torlandia Trading SRL","55994","socks5","4596","1","2023-07-30T17:39:31.250Z","100","3076","3079"
"212.5.143.42","elite","AS8866","BG","Vivacom Bulgaria EAD","96","BTC Broadband","3366","socks4","1600","1","2023-07-30T17:39:31.336Z","100","3027","3033"
"110.138.97.59","elite","AS7713","ID","PT. TELKOM INDONESIA","196","N/A","8080","socks4","4498","1","2023-07-30T17:39:27.851Z","95","2881","3044"
"177.38.5.16","elite","AS52964","BR","FÁBIO MENDES DIAS LTDA ME","284","FÁBIO MENDES DIAS LTDA ME","4153","socks4","5410","1","2023-07-30T17:39:27.737Z","87","2678","3079"
"197.250.15.58","elite","AS36908","TZ","Vodacom Tanzania Ltd","199","Vodacom Tanzania Ltd","3043","socks4","2080","1","2023-07-30T17:39:27.833Z","97","3040","3144"
